SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0
14,Lame MP3 Compression V3,2,0.19375,0.037539062500000005
14,Lame MP3 Compression V4,3,0.3435,0.11799225000000002
14,Lame MP3 Compression V5,4,0.5405,0.29214025
14,Lame MP3 Compression V6,5,0.73,0.5328999999999999
14,Lame MP3 Compression V7,6,0.7025,0.49350625000000004
14,Lame MP3 Compression V8,7,0.93025,0.8653650625
14,Lame MP3 Compression V9,8,0.94975,0.9020250624999999
14,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
14,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
14,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
14,Lame Constant MP3 Compression Bitrate 64,12,0.64875,0.42087656250000005
15,Lame MP3 Compression V1,0,0.076,0.005776
15,Lame MP3 Compression V2,1,0.129,0.016641
15,Lame MP3 Compression V3,2,0.19675,0.038710562500000004
15,Lame MP3 Compression V4,3,0.3695,0.13653025
15,Lame MP3 Compression V5,4,0.55225,0.30498006250000004
15,Lame MP3 Compression V6,5,0.753,0.567009
15,Lame MP3 Compression V7,6,0.764,0.583696
15,Lame MP3 Compression V8,7,0.89225,0.7961100624999999
15,Lame MP3 Compression V9,8,0.9445,0.89208025
15,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
15,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
15,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
15,Lame Constant MP3 Compression Bitrate 64,12,0.57,0.32489999999999997
16,Lame MP3 Compression V1,0,0.04625,0.0021390625
16,Lame MP3 Compression V2,1,0.105,0.011024999999999998
16,Lame MP3 Compression V3,2,0.16375,0.026814062500000003
16,Lame MP3 Compression V4,3,0.25275,0.06388256249999999
16,Lame MP3 Compression V5,4,0.46225,0.21367506249999998
16,Lame MP3 Compression V6,5,0.6045,0.36542025000000006
16,Lame MP3 Compression V7,6,0.6715,0.45091224999999996
16,Lame MP3 Compression V8,7,0.92,0.8464
16,Lame MP3 Compression V9,8,0.955,0.912025
16,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
16,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
16,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
16,Lame Constant MP3 Compression Bitrate 64,12,0.52775,0.27852006250000005
17,Lame MP3 Compression V1,0,0.05925,0.0035105625
17,Lame MP3 Compression V2,1,0.143,0.020448999999999995
17,Lame MP3 Compression V3,2,0.15725,0.0247275625
17,Lame MP3 Compression V4,3,0.27375,0.0749390625
17,Lame MP3 Compression V5,4,0.482,0.23232399999999997
17,Lame MP3 Compression V6,5,0.672,0.45158400000000004
17,Lame MP3 Compression V7,6,0.69425,0.48198306250000006
17,Lame MP3 Compression V8,7,0.94,0.8835999999999999
17,Lame MP3 Compression V9,8,0.9595,0.92064025
17,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
17,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
17,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
17,Lame Constant MP3 Compression Bitrate 64,12,0.60325,0.3639105624999999
18,Lame MP3 Compression V1,0,0.0915,0.00837225
18,Lame MP3 Compression V2,1,0.1,0.010000000000000002
18,Lame MP3 Compression V3,2,0.11175,0.012488062500000001
18,Lame MP3 Compression V4,3,0.282,0.07952399999999998
18,Lame MP3 Compression V5,4,0.45425,0.20634306249999998
18,Lame MP3 Compression V6,5,0.675,0.45562500000000006
18,Lame MP3 Compression V7,6,0.66025,0.4359300625
18,Lame MP3 Compression V8,7,0.9105,0.82901025
18,Lame MP3 Compression V9,8,0.94775,0.8982300624999999
18,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
18,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
18,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
18,Lame Constant MP3 Compression Bitrate 64,12,0.57075,0.3257555625
19,Lame MP3 Compression V1,0,0.06525,0.0042575625
19,Lame MP3 Compression V2,1,0.12725,0.0161925625
19,Lame MP3 Compression V3,2,0.16975,0.028815062500000006
19,Lame MP3 Compression V4,3,0.29125,0.08482656250000001
19,Lame MP3 Compression V5,4,0.51525,0.26548256249999996
19,Lame MP3 Compression V6,5,0.667,0.44488900000000003
19,Lame MP3 Compression V7,6,0.71275,0.5080125625
19,Lame MP3 Compression V8,7,0.9325,0.86955625
19,Lame MP3 Compression V9,8,0.957,0.9158489999999999
19,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
19,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
19,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
19,Lame Constant MP3 Compression Bitrate 64,12,0.57175,0.3268980625
20,Lame MP3 Compression V1,0,0.07925,0.0062805625000000006
20,Lame MP3 Compression V2,1,0.12025,0.014460062499999999
20,Lame MP3 Compression V3,2,0.1815,0.03294225
20,Lame MP3 Compression V4,3,0.296,0.08761599999999999
20,Lame MP3 Compression V5,4,0.53225,0.2832900625
20,Lame MP3 Compression V6,5,0.69775,0.4868550625
20,Lame MP3 Compression V7,6,0.75525,0.5704025625
20,Lame MP3 Compression V8,7,0.93525,0.8746925625
20,Lame MP3 Compression V9,8,0.96375,0.9288140625
20,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
20,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
20,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
20,Lame Constant MP3 Compression Bitrate 64,12,0.5755,0.33120025000000003
22,Lame MP3 Compression V1,0,0.1125,0.01265625
22,Lame MP3 Compression V2,1,0.21425,0.0459030625
22,Lame MP3 Compression V3,2,0.256,0.065536
22,Lame MP3 Compression V4,3,0.39275,0.1542525625
22,Lame MP3 Compression V5,4,0.5625,0.31640625
22,Lame MP3 Compression V6,5,0.74075,0.5487105625
22,Lame MP3 Compression V7,6,0.79025,0.6244950625
22,Lame MP3 Compression V8,7,0.90075,0.8113505625
22,Lame MP3 Compression V9,8,0.948,0.898704
22,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
22,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
22,Lame Constant MP3 Compression Bitrate 128,11,0.00975,9.50625E-5
22,Lame Constant MP3 Compression Bitrate 64,12,0.60825,0.3699680625
23,Lame MP3 Compression V1,0,0.0375,0.00140625
23,Lame MP3 Compression V2,1,0.071,0.0050409999999999995
23,Lame MP3 Compression V3,2,0.173,0.029928999999999997
23,Lame MP3 Compression V4,3,0.2475,0.06125625
23,Lame MP3 Compression V5,4,0.4715,0.22231225
23,Lame MP3 Compression V6,5,0.65075,0.42347556250000007
23,Lame MP3 Compression V7,6,0.72475,0.5252625625
23,Lame MP3 Compression V8,7,0.9375,0.87890625
23,Lame MP3 Compression V9,8,0.9615,0.9244822500000001
23,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
23,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
23,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
23,Lame Constant MP3 Compression Bitrate 64,12,0.60775,0.36936006250000003
24,Lame MP3 Compression V1,0,0.07125,0.0050765624999999995
24,Lame MP3 Compression V2,1,0.061,0.003721
24,Lame MP3 Compression V3,2,0.13725,0.018837562500000002
24,Lame MP3 Compression V4,3,0.32475,0.1054625625
24,Lame MP3 Compression V5,4,0.52875,0.27957656250000007
24,Lame MP3 Compression V6,5,0.6945,0.48233025
24,Lame MP3 Compression V7,6,0.6995,0.48930025
24,Lame MP3 Compression V8,7,0.885,0.7832250000000001
24,Lame MP3 Compression V9,8,0.9275,0.86025625
24,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
24,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
24,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
24,Lame Constant MP3 Compression Bitrate 64,12,0.58075,0.3372705625
25,Lame MP3 Compression V1,0,0.0545,0.00297025
25,Lame MP3 Compression V2,1,0.104,0.010816
25,Lame MP3 Compression V3,2,0.16375,0.026814062500000003
25,Lame MP3 Compression V4,3,0.2815,0.07924224999999999
25,Lame MP3 Compression V5,4,0.501,0.251001
25,Lame MP3 Compression V6,5,0.642,0.41216400000000003
25,Lame MP3 Compression V7,6,0.74025,0.5479700624999999
25,Lame MP3 Compression V8,7,0.921,0.848241
25,Lame MP3 Compression V9,8,0.95675,0.9153705624999999
25,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
25,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
25,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
25,Lame Constant MP3 Compression Bitrate 64,12,0.6145,0.37761025000000004
26,Lame MP3 Compression V1,0,0.07975,0.0063600625
26,Lame MP3 Compression V2,1,0.08675,0.007525562499999999
26,Lame MP3 Compression V3,2,0.1535,0.02356225
26,Lame MP3 Compression V4,3,0.35475,0.1258475625
26,Lame MP3 Compression V5,4,0.56575,0.32007306249999995
26,Lame MP3 Compression V6,5,0.66925,0.4478955625
26,Lame MP3 Compression V7,6,0.65425,0.4280430625
26,Lame MP3 Compression V8,7,0.66725,0.44522256250000003
26,Lame MP3 Compression V9,8,0.721,0.519841
26,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
26,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
26,Lame Constant MP3 Compression Bitrate 128,11,0.00775,6.0062499999999996E-5
26,Lame Constant MP3 Compression Bitrate 64,12,0.562,0.31584400000000007
27,Lame MP3 Compression V1,0,0.0985,0.00970225
27,Lame MP3 Compression V2,1,0.084,0.007056000000000001
27,Lame MP3 Compression V3,2,0.226,0.051076
27,Lame MP3 Compression V4,3,0.363,0.131769
27,Lame MP3 Compression V5,4,0.50075,0.25075056250000005
27,Lame MP3 Compression V6,5,0.74425,0.5539080624999999
27,Lame MP3 Compression V7,6,0.69625,0.48476406250000004
27,Lame MP3 Compression V8,7,0.6895,0.47541025
27,Lame MP3 Compression V9,8,0.85625,0.7331640624999999
27,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
27,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
27,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
27,Lame Constant MP3 Compression Bitrate 64,12,0.5985,0.35820225000000006
28,Lame MP3 Compression V1,0,0.0495,0.00245025
28,Lame MP3 Compression V2,1,0.061,0.003721
28,Lame MP3 Compression V3,2,0.10875,0.0118265625
28,Lame MP3 Compression V4,3,0.22075,0.0487305625
28,Lame MP3 Compression V5,4,0.455,0.20702500000000001
28,Lame MP3 Compression V6,5,0.6565,0.43099224999999997
28,Lame MP3 Compression V7,6,0.6805,0.46308024999999997
28,Lame MP3 Compression V8,7,0.8895,0.7912102499999999
28,Lame MP3 Compression V9,8,0.935,0.8742250000000001
28,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
28,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
28,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
28,Lame Constant MP3 Compression Bitrate 64,12,0.55175,0.3044280625
29,Lame MP3 Compression V1,0,0.07225,0.005220062499999999
29,Lame MP3 Compression V2,1,0.14625,0.021389062499999997
29,Lame MP3 Compression V3,2,0.19875,0.039501562500000004
29,Lame MP3 Compression V4,3,0.318,0.101124
29,Lame MP3 Compression V5,4,0.51675,0.26703056250000007
29,Lame MP3 Compression V6,5,0.69725,0.48615756250000003
29,Lame MP3 Compression V7,6,0.762,0.580644
29,Lame MP3 Compression V8,7,0.8955,0.8019202499999999
29,Lame MP3 Compression V9,8,0.94475,0.8925525624999999
29,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
29,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
29,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
29,Lame Constant MP3 Compression Bitrate 64,12,0.57625,0.33206406250000003
30,Lame MP3 Compression V1,0,0.0615,0.00378225
30,Lame MP3 Compression V2,1,0.162,0.026244
30,Lame MP3 Compression V3,2,0.20575,0.0423330625
30,Lame MP3 Compression V4,3,0.31525,0.09938256249999998
30,Lame MP3 Compression V5,4,0.56075,0.31444056249999996
