SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0,PEAQ_OBJECTIVE_DIFFERENCE VARIANCE,COMPRESSION_RATIO,COMPRESSION_RATIO ^ 2.0,COMPRESSION_RATIO VARIANCE
6,Lame Constant MP3 Compression Bitrate 64,12,0.59525,0.35432256249999994,0.0,0.08603343610971824,0.0074017521288449704,0.0
7,Lame MP3 Compression V1,0,0.04,0.0016,0.0,0.15311903212384376,0.023445437998542696,0.0
7,Lame MP3 Compression V2,1,0.112,0.012544000000000001,0.0,0.13289093256233264,0.017659999957286444,0.0
7,Lame MP3 Compression V3,2,0.16575,0.027473062500000003,0.0,0.12495332387363839,0.01561333314707037,0.0
7,Lame MP3 Compression V4,3,0.287,0.08236899999999998,0.0,0.11291888489400519,0.012750674565705594,0.0
7,Lame MP3 Compression V5,4,0.4815,0.23184224999999997,0.0,0.0979398491427596,0.00959221405010651,0.0
7,Lame MP3 Compression V6,5,0.64675,0.41828556250000004,0.0,0.08641751394949376,0.007467986717210949,0.0
7,Lame MP3 Compression V7,6,0.698,0.4872039999999999,0.0,0.07739168471476886,0.005989472862990188,0.0
7,Lame MP3 Compression V8,7,0.9275,0.86025625,0.0,0.06286073977659472,0.0039514726052607575,0.0
7,Lame MP3 Compression V9,8,0.953,0.9082089999999999,0.0,0.05244262837268353,0.0027502292706353916,0.0
7,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
7,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
7,Lame Constant MP3 Compression Bitrate 128,11,0.00625,3.906250000000001E-5,0.0,0.17206687221943648,0.029607008515379882,0.0
7,Lame Constant MP3 Compression Bitrate 64,12,0.56775,0.32234006249999997,0.0,0.08603343610971824,0.0074017521288449704,0.0
8,Lame MP3 Compression V1,0,0.09525,0.0090725625,0.0,0.1503223375327175,0.022596805161300252,0.0
8,Lame MP3 Compression V2,1,0.153,0.023409,0.0,0.13321247797614805,0.017745564288545727,0.0
8,Lame MP3 Compression V3,2,0.19975,0.03990006250000001,0.0,0.125146401328051,0.015661621765361605,0.0
8,Lame MP3 Compression V4,3,0.3125,0.09765625,0.0,0.11316949963845237,0.01280733564841767,0.0
8,Lame MP3 Compression V5,4,0.51425,0.2644530625,0.0,0.09398201427858517,0.008832619007860186,0.0
8,Lame MP3 Compression V6,5,0.72425,0.5245380624999999,0.0,0.08249396571917425,0.006805254380076296,0.0
8,Lame MP3 Compression V7,6,0.7275,0.5292562500000001,0.0,0.07534448869017915,0.005676791975984534,0.0
8,Lame MP3 Compression V8,7,0.91775,0.8422650624999999,0.0,0.065017466314964,0.004227270926017478,0.0
8,Lame MP3 Compression V9,8,0.942,0.8873639999999999,0.0,0.05296927354387966,0.0028057439397663497,0.0
8,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
8,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
8,Lame Constant MP3 Compression Bitrate 128,11,0.00325,1.05625E-5,0.0,0.17207630182607014,0.02961025365013679,0.0
8,Lame Constant MP3 Compression Bitrate 64,12,0.57675,0.33264056249999996,0.0,0.08603815091303507,0.007402563412534198,0.0
9,Lame MP3 Compression V1,0,0.0555,0.00308025,0.0,0.125146401328051,0.015661621765361605,0.0
9,Lame MP3 Compression V2,1,0.10475,0.0109725625,0.0,0.11023638085732618,0.012152059664521469,0.0
9,Lame MP3 Compression V3,2,0.15125,0.0228765625,0.0,0.10461456986016764,0.010944208227027895,0.0
