SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,COMPRESSION_RATIO
36,Lame MP3 Compression V6,5,0.71175,0.06521390973831157
36,Lame MP3 Compression V7,6,0.67325,0.05996092290280906
36,Lame MP3 Compression V8,7,0.70425,0.058167220080930164
36,Lame MP3 Compression V9,8,0,0.044282038415135436
37,Lame MP3 Compression V1,0,0.0385,0.14682582050351264
37,Lame MP3 Compression V2,1,0.06625,0.12478913540176378
37,Lame MP3 Compression V3,2,0.18525,0.11479575494864513
37,Lame MP3 Compression V4,3,0.37675,0.10172748820225919
37,Lame MP3 Compression V5,4,0.5215,0.08366253122931391
37,Lame MP3 Compression V6,5,0.71975,0.06995366317183062
37,Lame MP3 Compression V7,6,0.6885,0.06457261215861289
37,Lame MP3 Compression V8,7,0.64575,0.061753966389784545
37,Lame MP3 Compression V9,8,0.83625,0.04761269244731054
38,Lame MP3 Compression V1,0,0.06075,0.14186565567004006
38,Lame MP3 Compression V2,1,0.07625,0.12107499923563764
38,Lame MP3 Compression V3,2,0.19575,0.10713302962668542
38,Lame MP3 Compression V4,3,0.39875,0.09209037820650014
38,Lame MP3 Compression V5,4,0.54425,0.07423487326871923
38,Lame MP3 Compression V6,5,0.706,0.06335035313541444
38,Lame MP3 Compression V7,6,0.62575,0.05705200721558076
38,Lame MP3 Compression V8,7,0.6,0.05466719662457578
38,Lame MP3 Compression V9,8,0,0.04120932318260107
39,Lame MP3 Compression V1,0,0.05025,0.14861950417458522
39,Lame MP3 Compression V2,1,0.0765,0.12965770536610366
39,Lame MP3 Compression V3,2,0.1825,0.11863936281522923
39,Lame MP3 Compression V4,3,0.351,0.10480237449552647
39,Lame MP3 Compression V5,4,0.53425,0.08686553778480066
39,Lame MP3 Compression V6,5,0.73175,0.07290042920287844
39,Lame MP3 Compression V7,6,0.673,0.06668659648523415
39,Lame MP3 Compression V8,7,0.6945,0.064060131109735
39,Lame MP3 Compression V9,8,0.84275,0.049283594200422796
40,Lame MP3 Compression V1,0,0.01075,0.13942111699959234
